x	y	z	annotation	gray
18.77709288355142	12.971161347062647	13	CNS	[255  88   0]
19.184947324085925	13.884208309346782	13	epidermis	[255 177   0]
19.592801764620432	14.797255271630913	13	CNS	[255  88   0]
20.00065620515494	15.710302233915046	13	CNS	[255  88   0]
20.408510645689447	16.62334919619918	13	CNS	[255  88   0]
20.816365086223954	17.536396158483313	13	CNS	[255  88   0]
21.22421952675846	18.449443120767448	13	CNS	[255  88   0]
21.632073967292968	19.362490083051583	13	CNS	[255  88   0]
22.039928407827475	20.275537045335714	13	CNS	[255  88   0]
22.44778284836198	21.18858400761985	13	CNS	[255  88   0]
22.85563728889649	22.10163096990398	13	CNS	[255  88   0]
23.263491729430996	23.014677932188114	13	midgut	[  0 255  21]
23.671346169965503	23.92772489447225	13	midgut	[  0 255  21]
24.07920061050001	24.840771856756383	13	fat body	[  0 255 110]
24.487055051034517	25.753818819040518	13	amnioserosa	[  0 255 198]
24.894909491569024	26.66686578132465	13	amnioserosa	[  0 255 198]
25.30276393210353	27.579912743608784	13	amnioserosa	[  0 255 198]
25.710618372638038	28.49295970589292	13	amnioserosa	[  0 255 198]
26.118472813172545	29.40600666817705	13	amnioserosa	[  0 255 198]
26.526327253707052	30.319053630461184	13	midgut	[  0 255  21]
26.93418169424156	31.23210059274532	13	midgut	[  0 255  21]
27.342036134776066	32.14514755502945	13	midgut	[  0 255  21]
27.749890575310573	33.05819451731359	13	muscle	[ 67 255   0]
28.15774501584508	33.97124147959772	13	midgut	[  0 255  21]
28.565599456379587	34.88428844188185	13	midgut	[  0 255  21]
28.973453896914094	35.797335404165985	13	midgut	[  0 255  21]
29.3813083374486	36.71038236645012	13	midgut	[  0 255  21]
29.78916277798311	37.623429328734254	13	midgut	[  0 255  21]
30.197017218517615	38.53647629101839	13	midgut	[  0 255  21]
30.604871659052122	39.44952325330252	13	midgut	[  0 255  21]
31.01272609958663	40.36257021558666	13	muscle	[ 67 255   0]
31.42058054012114	41.275617177870785	13	muscle	[ 67 255   0]
31.828434980655643	42.18866414015492	13	muscle	[ 67 255   0]
32.23628942119015	43.101711102439054	13	epidermis	[255 177   0]
32.64414386172466	44.01475806472319	13	epidermis	[255 177   0]
33.051998302259165	44.927805027007324	13	epidermis	[255 177   0]
33.45985274279367	45.84085198929145	13	epidermis	[255 177   0]
33.86770718332818	46.75389895157559	13	epidermis	[255 177   0]
16.835158762094004	6.171978170539202	13	epidermis	[255 177   0]
17.24301320262851	7.085025132823336	13	CNS	[255  88   0]
17.650867643163018	7.998072095107471	13	carcass	[244 255   0]
18.058722083697525	8.911119057391605	13	CNS	[255  88   0]
18.466576524232032	9.824166019675737	13	trachea	[155 255   0]
18.87443096476654	10.737212981959871	13	epidermis	[255 177   0]
19.282285405301046	11.650259944244006	13	epidermis	[255 177   0]
19.690139845835553	12.563306906528142	13	CNS	[255  88   0]
20.09799428637006	13.476353868812271	13	CNS	[255  88   0]
20.505848726904567	14.389400831096406	13	epidermis	[255 177   0]
20.913703167439074	15.302447793380539	13	epidermis	[255 177   0]
21.32155760797358	16.215494755664672	13	epidermis	[255 177   0]
21.729412048508088	17.128541717948806	13	CNS	[255  88   0]
22.137266489042595	18.04158868023294	13	CNS	[255  88   0]
22.545120929577102	18.954635642517076	13	CNS	[255  88   0]
22.95297537011161	19.867682604801207	13	CNS	[255  88   0]
23.360829810646116	20.78072956708534	13	CNS	[255  88   0]
23.768684251180623	21.693776529369472	13	CNS	[255  88   0]
24.17653869171513	22.606823491653607	13	CNS	[255  88   0]
24.584393132249637	23.51987045393774	13	CNS	[255  88   0]
24.992247572784144	24.432917416221876	13	fat body	[  0 255 110]
25.40010201331865	25.345964378506007	13	fat body	[  0 255 110]
25.80795645385316	26.259011340790142	13	midgut	[  0 255  21]
26.215810894387666	27.172058303074277	13	amnioserosa	[  0 255 198]
26.623665334922173	28.08510526535841	13	midgut	[  0 255  21]
27.03151977545668	28.998152227642542	13	midgut	[  0 255  21]
27.439374215991187	29.911199189926677	13	midgut	[  0 255  21]
27.847228656525694	30.82424615221081	13	midgut	[  0 255  21]
28.2550830970602	31.737293114494946	13	midgut	[  0 255  21]
28.662937537594708	32.65034007677908	13	midgut	[  0 255  21]
29.070791978129215	33.563387039063215	13	midgut	[  0 255  21]
29.478646418663722	34.47643400134734	13	midgut	[  0 255  21]
29.88650085919823	35.38948096363148	13	midgut	[  0 255  21]
30.294355299732736	36.30252792591561	13	midgut	[  0 255  21]
30.702209740267243	37.21557488819975	13	midgut	[  0 255  21]
31.11006418080175	38.12862185048388	13	midgut	[  0 255  21]
31.517918621336257	39.04166881276801	13	midgut	[  0 255  21]
31.925773061870764	39.95471577505215	13	muscle	[ 67 255   0]
32.33362750240527	40.86776273733628	13	muscle	[ 67 255   0]
32.74148194293978	41.78080969962041	13	epidermis	[255 177   0]
33.149336383474285	42.69385666190455	13	epidermis	[255 177   0]
33.55719082400879	43.60690362418868	13	epidermis	[255 177   0]
33.9650452645433	44.51995058647282	13	epidermis	[255 177   0]
34.372899705077806	45.432997548756944	13	epidermis	[255 177   0]
34.78075414561231	46.346044511041086	13	trachea	[155 255   0]
18.563914605447152	7.590217654572964	13	midgut	[  0 255  21]
18.97176904598166	8.503264616857098	13	carcass	[244 255   0]
19.379623486516167	9.41631157914123	13	midgut	[  0 255  21]
19.787477927050674	10.329358541425366	13	epidermis	[255 177   0]
20.19533236758518	11.242405503709497	13	CNS	[255  88   0]
20.603186808119688	12.155452465993633	13	epidermis	[255 177   0]
21.011041248654195	13.068499428277764	13	CNS	[255  88   0]
21.4188956891887	13.981546390561899	13	epidermis	[255 177   0]
21.82675012972321	14.894593352846034	13	epidermis	[255 177   0]
22.234604570257716	15.807640315130165	13	epidermis	[255 177   0]
22.642459010792223	16.7206872774143	13	epidermis	[255 177   0]
23.05031345132673	17.633734239698434	13	epidermis	[255 177   0]
23.458167891861237	18.54678120198257	13	epidermis	[255 177   0]
23.866022332395744	19.4598281642667	13	epidermis	[255 177   0]
24.27387677293025	20.372875126550834	13	CNS	[255  88   0]
24.681731213464758	21.285922088834965	13	CNS	[255  88   0]
25.089585653999265	22.1989690511191	13	CNS	[255  88   0]
25.497440094533772	23.112016013403235	13	CNS	[255  88   0]
25.90529453506828	24.02506297568737	13	CNS	[255  88   0]
26.313148975602786	24.9381099379715	13	CNS	[255  88   0]
26.721003416137293	25.851156900255635	13	CNS	[255  88   0]
27.1288578566718	26.76420386253977	13	CNS	[255  88   0]
27.536712297206307	27.677250824823904	13	CNS	[255  88   0]
27.944566737740814	28.590297787108035	13	CNS	[255  88   0]
28.35242117827532	29.50334474939217	13	CNS	[255  88   0]
28.76027561880983	30.416391711676305	13	CNS	[255  88   0]
29.168130059344335	31.32943867396044	13	CNS	[255  88   0]
29.575984499878842	32.242485636244574	13	midgut	[  0 255  21]
29.98383894041335	33.15553259852871	13	midgut	[  0 255  21]
30.391693380947856	34.068579560812836	13	muscle	[ 67 255   0]
30.799547821482363	34.98162652309697	13	midgut	[  0 255  21]
31.20740226201687	35.894673485381105	13	midgut	[  0 255  21]
31.615256702551378	36.80772044766524	13	midgut	[  0 255  21]
32.023111143085885	37.720767409949374	13	midgut	[  0 255  21]
32.43096558362039	38.63381437223351	13	epidermis	[255 177   0]
32.8388200241549	39.546861334517644	13	epidermis	[255 177   0]
33.246674464689406	40.45990829680177	13	epidermis	[255 177   0]
33.65452890522391	41.372955259085906	13	epidermis	[255 177   0]
34.06238334575842	42.28600222137004	13	epidermis	[255 177   0]
34.47023778629293	43.199049183654175	13	epidermis	[255 177   0]
